year,naics,industry,series,value
1997,313,313 - Textile mills,imports_usd,6402802616
1998,313,313 - Textile mills,imports_usd,6532773503
1999,313,313 - Textile mills,imports_usd,6480912275
2000,313,313 - Textile mills,imports_usd,7070841022
2001,313,313 - Textile mills,imports_usd,6357255174
2002,313,313 - Textile mills,imports_usd,6804242719
2003,313,313 - Textile mills,imports_usd,6829950882
2004,313,313 - Textile mills,imports_usd,7423141608
2005,313,313 - Textile mills,imports_usd,7482745118
2006,313,313 - Textile mills,imports_usd,7389501662
2007,313,313 - Textile mills,imports_usd,7476642074
2008,313,313 - Textile mills,imports_usd,6970666356
2009,313,313 - Textile mills,imports_usd,5297054816
2010,313,313 - Textile mills,imports_usd,6535865605
2011,313,313 - Textile mills,imports_usd,7330905000
2012,313,313 - Textile mills,imports_usd,7775018127
2013,313,313 - Textile mills,imports_usd,8041069947
2014,313,313 - Textile mills,imports_usd,8460182471
2015,313,313 - Textile mills,imports_usd,8650792655
2016,313,313 - Textile mills,imports_usd,8252530283
2017,313,313 - Textile mills,imports_usd,8182945181
2018,313,313 - Textile mills,imports_usd,8765357120
2019,313,313 - Textile mills,imports_usd,8214491099
2020,313,313 - Textile mills,imports_usd,8287478878
2021,313,313 - Textile mills,imports_usd,9826371171
2022,313,313 - Textile mills,imports_usd,10257253382
2023,313,313 - Textile mills,imports_usd,8680566689
2024,313,313 - Textile mills,imports_usd,9111044263
2025,313,313 - Textile mills,imports_usd,8460675891
1990,313,313 - Textile mills,output_nominal_usd,46554700000
1991,313,313 - Textile mills,output_nominal_usd,47159800000
1992,313,313 - Textile mills,output_nominal_usd,50447700000
1993,313,313 - Textile mills,output_nominal_usd,52717100000
1994,313,313 - Textile mills,output_nominal_usd,55798900000
1995,313,313 - Textile mills,output_nominal_usd,56773600000
1996,313,313 - Textile mills,output_nominal_usd,56157500000
1997,313,313 - Textile mills,output_nominal_usd,58978500000
1998,313,313 - Textile mills,output_nominal_usd,57637100000
1999,313,313 - Textile mills,output_nominal_usd,54505300000
2000,313,313 - Textile mills,output_nominal_usd,52309200000.00001
2001,313,313 - Textile mills,output_nominal_usd,46034900000
2002,313,313 - Textile mills,output_nominal_usd,45600900000
2003,313,313 - Textile mills,output_nominal_usd,42756600000
2004,313,313 - Textile mills,output_nominal_usd,40990800000
2005,313,313 - Textile mills,output_nominal_usd,41249700000
2006,313,313 - Textile mills,output_nominal_usd,38931600000
2007,313,313 - Textile mills,output_nominal_usd,36098300000
2008,313,313 - Textile mills,output_nominal_usd,32194399999.999996
2009,313,313 - Textile mills,output_nominal_usd,26589600000
2010,313,313 - Textile mills,output_nominal_usd,29652500000
2011,313,313 - Textile mills,output_nominal_usd,31410600000
2012,313,313 - Textile mills,output_nominal_usd,30216100000
2013,313,313 - Textile mills,output_nominal_usd,31539500000
2014,313,313 - Textile mills,output_nominal_usd,31307900000
2015,313,313 - Textile mills,output_nominal_usd,29384700000
2016,313,313 - Textile mills,output_nominal_usd,28128700000
2017,313,313 - Textile mills,output_nominal_usd,27609500000
2018,313,313 - Textile mills,output_nominal_usd,28158400000
1997,314,314 - Textile product mills,imports_usd,4794158755
1998,314,314 - Textile product mills,imports_usd,5614946292
1999,314,314 - Textile product mills,imports_usd,6361765077
2000,314,314 - Textile product mills,imports_usd,7363931454
2001,314,314 - Textile product mills,imports_usd,7611703892
2002,314,314 - Textile product mills,imports_usd,8651111449
2003,314,314 - Textile product mills,imports_usd,9876690240
2004,314,314 - Textile product mills,imports_usd,11752365670
2005,314,314 - Textile product mills,imports_usd,13513544569
2006,314,314 - Textile product mills,imports_usd,14707334369
2007,314,314 - Textile product mills,imports_usd,15439681193
2008,314,314 - Textile product mills,imports_usd,15027836852
2009,314,314 - Textile product mills,imports_usd,13264661461
2010,314,314 - Textile product mills,imports_usd,15883281595
2011,314,314 - Textile product mills,imports_usd,17025510974
2012,314,314 - Textile product mills,imports_usd,17936515009
2013,314,314 - Textile product mills,imports_usd,18865640887
2014,314,314 - Textile product mills,imports_usd,19676718208
2015,314,314 - Textile product mills,imports_usd,20827312150
2016,314,314 - Textile product mills,imports_usd,20639586058
2017,314,314 - Textile product mills,imports_usd,21641530447
2018,314,314 - Textile product mills,imports_usd,23038920715
2019,314,314 - Textile product mills,imports_usd,23388208276
2020,314,314 - Textile product mills,imports_usd,36947478681
2021,314,314 - Textile product mills,imports_usd,30055702394
2022,314,314 - Textile product mills,imports_usd,27046110442
2023,314,314 - Textile product mills,imports_usd,22256012489
2024,314,314 - Textile product mills,imports_usd,23774620450
2025,314,314 - Textile product mills,imports_usd,21132732295
1990,314,314 - Textile product mills,output_nominal_usd,23739100000
1991,314,314 - Textile product mills,output_nominal_usd,22683100000
1992,314,314 - Textile product mills,output_nominal_usd,24593000000
1993,314,314 - Textile product mills,output_nominal_usd,25562700000
1994,314,314 - Textile product mills,output_nominal_usd,27130000000
1995,314,314 - Textile product mills,output_nominal_usd,27868700000
1996,314,314 - Textile product mills,output_nominal_usd,28450100000
1997,314,314 - Textile product mills,output_nominal_usd,30755699999.999996
