year,location_id,upland_bales,pima_bales
2019,1_10_998,15800,
2018,1_10_998,32300,
2017,1_10_998,31300,
2016,1_10_998,17800,
2015,1_10_998,23200,
2014,1_10_998,13000,
2013,1_10_998,11300,
2012,1_10_998,16000,
2011,1_10_998,5900,
2010,1_10_998,4600,
2009,1_10_998,1000,
2008,1_10_998,1500,
2007,1_10_998,1700,
2006,1_10_998,4200,
2005,1_10_998,9200,
2004,1_10_998,6110,
2003,1_10_998,4400,
2002,1_10_998,4100,
2001,1_10_998,4800,
2000,1_10_998,5600,
1999,1_10_998,1400,
1998,1_10_998,1610,
1997,1_10_998,1200,
1996,1_10_998,3716,
1995,1_10_998,960,
1994,1_10_998,1290,
1993,1_10_998,1080,
1992,1_10_998,1400,
2025,1_10_33,15500,
2024,1_10_33,10700,
2023,1_10_33,21300,
2022,1_10_33,19600,
2019,1_10_33,28000,
2011,1_10_33,13600,
2010,1_10_33,9800,
2009,1_10_33,2700,
2008,1_10_33,11900,
2007,1_10_33,15500,
2006,1_10_33,25400,
2005,1_10_33,37500,
2004,1_10_33,47500,
2003,1_10_33,51000,
2002,1_10_33,35900,
2001,1_10_33,45000,
2000,1_10_33,36500,
1999,1_10_33,26400,
1998,1_10_33,29700,
1997,1_10_33,29370,
1996,1_10_33,39770,
1995,1_10_33,14240,
1994,1_10_33,48020,
1993,1_10_33,27770,
1992,1_10_33,43800,
1991,1_10_33,36300,
1990,1_10_33,31200,
2020,1_10_59,6710,
1991,1_10_59,270,
1990,1_10_59,470,
2025,1_10_77,40900,
2024,1_10_77,28800,
2023,1_10_77,47100,
2022,1_10_77,37300,
2021,1_10_77,27800,
2020,1_10_77,34100,
2019,1_10_77,56700,
2018,1_10_77,43300,
2017,1_10_77,40500,
2016,1_10_77,30100,
2015,1_10_77,18600,
2014,1_10_77,24300,
2013,1_10_77,28000,
2012,1_10_77,36200,
2011,1_10_77,30800,
2010,1_10_77,31600,
2009,1_10_77,17000,
2008,1_10_77,22300,
2007,1_10_77,19000,
2006,1_10_77,31800,
2005,1_10_77,45200,
2004,1_10_77,48500,
